Survey Response,Journal Name,Other Journal,Date,Professional Status,Gender (optional),Race/Ethnic Background (optional),Review Time in Months,Initial Verdict,Sets of Reviewer Comments Initially Provided,Quality of Referee Comments,Overall Experience with Editors,Revise and Resubmit Verdict (also Conditional Acceptance),Time from Acceptance to Publication,Field 13,Journals,Acceptances,Rejections,Conditional Acceptances,Revise and Resubmits,Overall Acceptance,Initial withdrawals,Revise and Resubmit Withdrawals
British Journal for the Philosophy of Science2012-04-04T04:00:00.000Z,British Journal for the Philosophy of Science,,4/4/2012 12:00am,Graduate Student,Female,white,2.00,Reject,2.0,1.0,2.0,,,,,,Reject,,,,,
International Studies in Philosophy of Science2012-04-04T04:00:00.000Z,International Studies in Philosophy of Science,,4/4/2012 12:00am,Graduate Student,Female,white,2.00,Conditional Acceptance,2.0,5.0,5.0,Accept,7.0,,,,,Conditional Acceptance,,Accept,,
Philosophy of Science2012-04-04T04:00:00.000Z,Philosophy of Science,,4/4/2012 12:00am,Graduate Student,Female,white,2.00,Reject,2.0,5.0,4.0,Reject,,,,,Reject,,,,,
Studies in History and Philosophy of Science Part A2012-04-04T04:00:00.000Z,Studies in History and Philosophy of Science Part A,,4/4/2012 12:00am,Graduate Student,Female,white,9.00,Conditional Acceptance,3.0,4.0,3.0,Accept,15.0,,,,,Conditional Acceptance,,Accept,,
Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics2012-04-04T04:00:00.000Z,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,,4/4/2012 12:00am,Graduate Student,Female,white,2.00,Reject,2.0,3.0,5.0,,,,,,Reject,,,,,
Synthese2012-04-04T04:00:00.000Z,Synthese,,4/4/2012 12:00am,Graduate Student,Male,,4.00,Conditional Acceptance,2.0,4.0,5.0,,2.0,,,,,Conditional Acceptance,,,,
Neuroethics2012-04-05T04:00:00.000Z,Neuroethics,,4/5/2012 12:00am,Faculty (Tenured),Male,,6.00,Conditional Acceptance,2.0,3.0,3.0,Accept,2.0,,,,,Conditional Acceptance,,Accept,,
Neuroethics2012-04-05T04:00:00.000Z,Neuroethics,,4/5/2012 12:00am,Faculty (Tenured),Male,,12.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
The Reasoner2012-04-05T04:00:00.000Z,The Reasoner,,4/5/2012 12:00am,Graduate Student,Male,White,0.25,Conditional Acceptance,3.0,2.0,4.0,Accept,1.5,,,,,Conditional Acceptance,,Accept,,
Kant-Studien2012-04-08T04:00:00.000Z,Kant-Studien,,4/8/2012 12:00am,Faculty (Non-tenure-track position),Male,,7.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Bioethics2012-04-10T04:00:00.000Z,Bioethics,,4/10/2012 12:00am,Graduate Student,Female,,2.00,Reject,2.0,4.0,3.0,,,,,,Reject,,,,,
Journal of Applied Philosophy2012-04-10T04:00:00.000Z,Journal of Applied Philosophy,,4/10/2012 12:00am,Graduate Student,Female,,6.50,Revise and Resubmit,2.0,5.0,4.0,Accept,2.5,,,,,,Revise and Resubmit,Accept,,
Analysis2012-04-11T04:00:00.000Z,Analysis,,4/11/2012 12:00am,Graduate Student,Male,,,Reject,,,5.0,,,,,,Reject,,,,,
Journal of Aesthetics and Art Criticism2012-04-11T04:00:00.000Z,Journal of Aesthetics and Art Criticism,,4/11/2012 12:00am,Faculty (Non-tenure-track position),,,3.00,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Philosophers’ Imprint2012-04-11T04:00:00.000Z,Philosophers’ Imprint,,4/11/2012 12:00am,Faculty (Tenured),Male,,1.00,Reject,,,4.0,,,,,,Reject,,,,,
Religious Studies2012-04-11T04:00:00.000Z,Religious Studies,,4/11/2012 12:00am,Graduate Student,Male,,0.60,Reject,1.0,2.0,4.0,,,,,,Reject,,,,,
British Journal of Aesthetics2012-04-11T05:00:00.000Z,British Journal of Aesthetics,,4/11/2012 1:00am,Faculty (Non-tenure-track position),Male,,,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2012-04-11T05:00:00.000Z,Canadian Journal of Philosophy,,4/11/2012 1:00am,Faculty (Tenure-track but non-tenured),Female,Caucasian,5.00,Reject,1.0,4.0,5.0,,,,,,Reject,,,,,
Oxford Studies in Ancient Philosophy2012-04-13T04:00:00.000Z,Oxford Studies in Ancient Philosophy,,4/13/2012 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Revise and Resubmit,2.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Ethics2012-04-16T04:00:00.000Z,Ethics,,4/16/2012 12:00am,Faculty (Non-tenure-track position),Male,,0.50,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy2012-04-16T04:00:00.000Z,Journal of Philosophy,,4/16/2012 12:00am,Graduate Student,,,3.00,Reject,,,4.0,,,,,,Reject,,,,,
Philosophers’ Imprint2012-04-16T04:00:00.000Z,Philosophers’ Imprint,,4/16/2012 12:00am,Graduate Student,,,0.75,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Review2012-04-16T04:00:00.000Z,Philosophical Review,,4/16/2012 12:00am,Graduate Student,Male,,4.50,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2012-04-16T04:00:00.000Z,Philosophical Studies,,4/16/2012 12:00am,Faculty (Tenured),Male,,4.00,Revise and Resubmit,1.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies2012-04-16T04:00:00.000Z,Philosophical Studies,,4/16/2012 12:00am,Graduate Student,,,5.50,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
American Philosophical Quarterly2012-04-17T04:00:00.000Z,American Philosophical Quarterly,,4/17/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,2.00,Reject,,,3.0,,,,,,Reject,,,,,
American Philosophical Quarterly2012-04-17T04:00:00.000Z,American Philosophical Quarterly,,4/17/2012 12:00am,Faculty (Tenure-track but non-tenured),,,,Reject,1.0,4.0,3.0,Reject,,,,,Reject,,,,,
Philosophy and Public Affairs2012-04-17T04:00:00.000Z,Philosophy and Public Affairs,,4/17/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,1.75,Reject,,,3.0,,,,,,Reject,,,,,
Analysis2012-04-18T04:00:00.000Z,Analysis,,4/18/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,0.75,Reject,,,3.0,,,,,,Reject,,,,,
Analysis2012-04-18T04:00:00.000Z,Analysis,,4/18/2012 12:00am,Graduate Student,Female,,0.50,Reject,,,1.0,,,,,,Reject,,,,,
Analysis2012-04-18T04:00:00.000Z,Analysis,,4/18/2012 12:00am,Graduate Student,Female,,0.50,Reject,,,1.0,,,,,,Reject,,,,,
Dialogue2012-04-18T05:00:00.000Z,Dialogue,,4/18/2012 1:00am,Faculty (Tenure-track but non-tenured),Female,,2.00,Accept,2.0,3.0,5.0,,7.0,,,Accept,,,,,,
Analysis2012-04-19T04:00:00.000Z,Analysis,,4/19/2012 12:00am,Faculty (Non-tenure-track position),Male,White,0.50,Reject,,,5.0,,,,,,Reject,,,,,
Journal of Philosophy2012-04-19T04:00:00.000Z,Journal of Philosophy,,4/19/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,3.30,Reject,,,3.0,,,,,,Reject,,,,,
Religious Studies2012-04-23T04:00:00.000Z,Religious Studies,,4/23/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,Irish,1.00,Conditional Acceptance,1.0,3.0,5.0,,,,,,,Conditional Acceptance,,,,
Ethical Theory and Moral Practice2012-04-24T04:00:00.000Z,Ethical Theory and Moral Practice,,4/24/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,White,4.00,Reject,2.0,3.0,3.0,,,,,,Reject,,,,,
Ethics2012-04-24T04:00:00.000Z,Ethics,,4/24/2012 12:00am,Faculty (Non-tenure-track position),,,0.50,Reject,,,2.0,,,,,,Reject,,,,,
Philosophers’ Imprint2012-04-24T04:00:00.000Z,Philosophers’ Imprint,,4/24/2012 12:00am,Faculty (Tenured),Female,,6.00,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Apeiron2012-04-25T04:00:00.000Z,Apeiron,,4/25/2012 12:00am,Faculty (Non-tenure-track position),Male,White,17.50,Accept,1.0,3.0,3.0,,,,,Accept,,,,,,
Analysis2012-04-25T04:00:00.000Z,Analysis,,4/25/2012 12:00am,Faculty (Non-tenure-track position),,,0.50,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Quarterly2012-04-25T04:00:00.000Z,Philosophical Quarterly,,4/25/2012 12:00am,Graduate Student,Male,,0.75,Reject,,,4.0,,,,,,Reject,,,,,
Philosophical Studies2012-04-25T04:00:00.000Z,Philosophical Studies,,4/25/2012 12:00am,Faculty (Non-tenure-track position),Male,Caucasian,5.90,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Phronesis2012-04-25T04:00:00.000Z,Phronesis,,4/25/2012 12:00am,Graduate Student,Male,,4.00,Reject,,,4.0,,,,,,Reject,,,,,
Political Theory2012-04-25T04:00:00.000Z,Political Theory,,4/25/2012 12:00am,Graduate Student,Male,,0.10,Reject,,,3.0,,,,,,Reject,,,,,
Nous2012-04-26T04:00:00.000Z,Nous,,4/26/2012 12:00am,Graduate Student,Male,white,2.00,,,,5.0,,,,,,,,,,,
American Philosophical Quarterly2012-04-27T04:00:00.000Z,American Philosophical Quarterly,,4/27/2012 12:00am,Faculty (Non-tenure-track position),,,2.00,Revise and Resubmit,1.0,2.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of Political Philosophy2012-04-27T04:00:00.000Z,Journal of Political Philosophy,,4/27/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,white,2.00,Conditional Acceptance,3.0,4.0,5.0,Accept,3.0,,,,,Conditional Acceptance,,Accept,,
Nous2012-04-27T04:00:00.000Z,Nous,,4/27/2012 12:00am,Graduate Student,Male,caucasian,2.40,Reject,,,4.0,,,,,,Reject,,,,,
Philosophical Studies2012-04-29T04:00:00.000Z,Philosophical Studies,,4/29/2012 12:00am,Graduate Student,Male,,16.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Nous2012-04-30T04:00:00.000Z,Nous,,4/30/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophers’ Imprint2012-04-30T04:00:00.000Z,Philosophers’ Imprint,,4/30/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,1.25,Reject,,,,,,,,,Reject,,,,,
History of Philosophy Quarterly2012-05-01T04:00:00.000Z,History of Philosophy Quarterly,,5/1/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,7.50,Reject,,,1.0,,,,,,Reject,,,,,
Hypatia2012-05-01T04:00:00.000Z,Hypatia,,5/1/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,2.00,Revise and Resubmit,2.0,4.0,4.0,,,,,,,,Revise and Resubmit,,,
Journal of Ethics & Social Philosophy2012-05-01T04:00:00.000Z,Journal of Ethics & Social Philosophy,,5/1/2012 12:00am,Graduate Student,Female,,0.50,Reject,,,3.0,,,,,,Reject,,,,,
Journal of Value Inquiry2012-05-01T04:00:00.000Z,Journal of Value Inquiry,,5/1/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,7.00,Reject,3.0,3.0,1.0,,,,,,Reject,,,,,
Mind2012-05-01T04:00:00.000Z,Mind,,5/1/2012 12:00am,,Male,,4.00,Accept,2.0,4.0,4.0,,12.0,,,Accept,,,,,,
Nous2012-05-01T04:00:00.000Z,Nous,,5/1/2012 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Reject,,1.0,1.0,,,,,,Reject,,,,,
Philosophers’ Imprint2012-05-01T04:00:00.000Z,Philosophers’ Imprint,,5/1/2012 12:00am,Faculty (Non-tenure-track position),Male,,3.50,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2012-05-01T04:00:00.000Z,Philosophical Quarterly,,5/1/2012 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Reject,2.0,2.0,2.0,,,,,,Reject,,,,,
Philosophical Studies2012-05-01T04:00:00.000Z,Philosophical Studies,,5/1/2012 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,1.0,1.0,1.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2012-05-01T05:00:00.000Z,Canadian Journal of Philosophy,,5/1/2012 1:00am,Faculty (Tenure-track but non-tenured),Female,,7.50,Reject,,,1.0,,,,,,Reject,,,,,
Dialogue2012-05-01T05:00:00.000Z,Dialogue,,5/1/2012 1:00am,Faculty (Tenure-track but non-tenured),Female,,3.00,Revise and Resubmit,2.0,4.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Biology and Philosophy2012-05-02T04:00:00.000Z,Biology and Philosophy,,5/2/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,3.00,Conditional Acceptance,1.0,5.0,5.0,Accept,,,,,,Conditional Acceptance,,Accept,,
British Journal for the Philosophy of Science2012-05-02T04:00:00.000Z,British Journal for the Philosophy of Science,,5/2/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,0.50,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Philosophers’ Imprint2012-05-02T04:00:00.000Z,Philosophers’ Imprint,,5/2/2012 12:00am,Faculty (Non-tenure-track position),Male,caucasian,6.00,Revise and Resubmit,2.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophia: Philosophical Quarterly of Israel2012-05-02T04:00:00.000Z,Philosophia: Philosophical Quarterly of Israel,,5/2/2012 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,2.0,5.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2012-05-02T04:00:00.000Z,Philosophical Studies,,5/2/2012 12:00am,Faculty (Tenured),Male,,5.50,Revise and Resubmit,1.0,4.0,3.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies2012-05-02T04:00:00.000Z,Philosophical Studies,,5/2/2012 12:00am,Faculty (Non-tenure-track position),Male,caucasian,6.00,Revise and Resubmit,1.0,4.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Ratio2012-05-03T04:00:00.000Z,Ratio,,5/3/2012 12:00am,Faculty (Tenure-track but non-tenured),,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Faith and Philosophy2012-05-05T04:00:00.000Z,Faith and Philosophy,,5/5/2012 12:00am,Faculty (Non-tenure-track position),Male,caucasian,7.00,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Nous2012-05-07T04:00:00.000Z,Nous,,5/7/2012 12:00am,Graduate Student,Male,,4.00,Reject,,,2.0,,,,,,Reject,,,,,
Philosophers’ Imprint2012-05-07T04:00:00.000Z,Philosophers’ Imprint,,5/7/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophers’ Imprint2012-05-08T04:00:00.000Z,Philosophers’ Imprint,,5/8/2012 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophical Quarterly2012-05-08T04:00:00.000Z,Philosophical Quarterly,,5/8/2012 12:00am,Faculty (Non-tenure-track position),Male,Caucasian,0.50,Reject,,,3.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2012-05-09T04:00:00.000Z,Philosophy and Phenomenological Research,,5/9/2012 12:00am,Graduate Student,Male,White,2.00,Reject,,,,,,,,,Reject,,,,,
Ethics2012-05-10T04:00:00.000Z,Ethics,,5/10/2012 12:00am,Faculty (Tenured),Male,,2.50,Revise and Resubmit,2.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of Ethics2012-05-10T04:00:00.000Z,Journal of Ethics,,5/10/2012 12:00am,Faculty (Non-tenure-track position),,,0.50,Reject,,,3.0,,,,,,Reject,,,,,
Pacific Philosophical Quarterly2012-05-11T04:00:00.000Z,Pacific Philosophical Quarterly,,5/11/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,7.00,Reject,,,1.0,,,,,,Reject,,,,,
Journal of Value Inquiry2012-05-13T04:00:00.000Z,Journal of Value Inquiry,,5/13/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,6.00,Conditional Acceptance,2.0,4.0,3.0,,2.5,,,,,Conditional Acceptance,,,,
Philosophical Quarterly2012-05-13T04:00:00.000Z,Philosophical Quarterly,,5/13/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,white,0.50,Reject,,,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2012-05-13T04:00:00.000Z,Philosophy and Phenomenological Research,,5/13/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,white,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Biology and Philosophy2012-05-14T04:00:00.000Z,Biology and Philosophy,,5/14/2012 12:00am,Faculty (Non-tenure-track position),Male,Asian,2.00,Reject,1.0,4.0,5.0,,,,,,Reject,,,,,
European Journal of Philosophy2012-05-14T04:00:00.000Z,European Journal of Philosophy,,5/14/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.30,Reject,,,2.0,,,,,,Reject,,,,,
Inquiry2012-05-14T04:00:00.000Z,Inquiry,,5/14/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.00,Reject,,,1.0,,,,,,Reject,,,,,
Mind and Language2012-05-14T04:00:00.000Z,Mind and Language,,5/14/2012 12:00am,Faculty (Non-tenure-track position),Female,White,15.00,Conditional Acceptance,1.0,4.0,4.0,,,,,,,Conditional Acceptance,,,,
Philosophical Review2012-05-14T04:00:00.000Z,Philosophical Review,,5/14/2012 12:00am,Faculty (Tenured),Male,White,3.66,Reject,,,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2012-05-14T04:00:00.000Z,Philosophy and Phenomenological Research,,5/14/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,2.00,Reject,,,2.0,,,,,,Reject,,,,,
Utilitas2012-05-14T04:00:00.000Z,Utilitas,,5/14/2012 12:00am,Graduate Student,,,1.00,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Utilitas2012-05-14T04:00:00.000Z,Utilitas,,5/14/2012 12:00am,Faculty (Non-tenure-track position),Male,Caucasian,2.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Oxford Studies in Ancient Philosophy2012-05-15T04:00:00.000Z,Oxford Studies in Ancient Philosophy,,5/15/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,"white, non-Hispanic",2.00,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Synthese2012-05-15T04:00:00.000Z,Synthese,,5/15/2012 12:00am,Faculty (Non-tenure-track position),Male,White,1.25,Reject,2.0,1.0,4.0,,,,,,Reject,,,,,
Southern Journal of Philosophy2012-05-15T04:00:00.000Z,Southern Journal of Philosophy,,5/15/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,0.20,Reject,,,3.0,,,,,,Reject,,,,,
Ethics2012-05-17T04:00:00.000Z,Ethics,,5/17/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,2.00,Revise and Resubmit,1.0,4.0,4.0,Reject,,,,,,,Revise and Resubmit,,,
Journal of Medical Ethics2012-05-17T04:00:00.000Z,Journal of Medical Ethics,,5/17/2012 12:00am,Other,Male,white,3.00,Revise and Resubmit,2.0,3.0,4.0,Accept,1.5,,,,,,Revise and Resubmit,Accept,,
American Philosophical Quarterly2012-05-18T04:00:00.000Z,American Philosophical Quarterly,,5/18/2012 12:00am,Graduate Student,,,,,,,,,22.0,,,,,,,,,
Erkenntnis2012-05-18T04:00:00.000Z,Erkenntnis,,5/18/2012 12:00am,Graduate Student,Male,White,4.00,Reject,2.0,1.0,5.0,,,,,,Reject,,,,,
Oxford Studies in Ancient Philosophy2012-05-18T04:00:00.000Z,Oxford Studies in Ancient Philosophy,,5/18/2012 12:00am,Graduate Student,Male,White,1.00,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Oxford Studies in Ancient Philosophy2012-05-18T04:00:00.000Z,Oxford Studies in Ancient Philosophy,,5/18/2012 12:00am,Graduate Student,Male,White,1.00,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Philosophy and Public Affairs2012-05-18T04:00:00.000Z,Philosophy and Public Affairs,,5/18/2012 12:00am,Graduate Student,Male,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Public Affairs2012-05-18T04:00:00.000Z,Philosophy and Public Affairs,,5/18/2012 12:00am,Faculty (Non-tenure-track position),Male,Caucasian,1.00,Reject,,,4.0,,,,,,Reject,,,,,
Phronesis2012-05-18T04:00:00.000Z,Phronesis,,5/18/2012 12:00am,Graduate Student,Male,White,7.50,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Notre Dame Journal of Formal Logic2012-05-21T04:00:00.000Z,Notre Dame Journal of Formal Logic,,5/21/2012 12:00am,Graduate Student,,,7.00,Accept,1.0,5.0,5.0,,11.0,,,Accept,,,,,,
Philosophical Psychology2012-05-21T04:00:00.000Z,Philosophical Psychology,,5/21/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,white,2.50,Revise and Resubmit,3.0,4.0,5.0,Withdraw,,,,,,,Revise and Resubmit,,,Withdraw
Social Theory and Practice2012-05-22T04:00:00.000Z,Social Theory and Practice,,5/22/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,Black,0.25,Reject,1.0,2.0,4.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2012-05-23T04:00:00.000Z,Australasian Journal of Philosophy,,5/23/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,3.00,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2012-05-23T04:00:00.000Z,Australasian Journal of Philosophy,,5/23/2012 12:00am,Graduate Student,Male,,3.00,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Analysis2012-05-23T04:00:00.000Z,Analysis,,5/23/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,White,0.50,Reject,,,4.0,,,,,,Reject,,,,,
European Journal of Philosophy2012-05-23T04:00:00.000Z,European Journal of Philosophy,,5/23/2012 12:00am,Faculty (Tenured),Female,,,Reject,,1.0,1.0,,,,,,Reject,,,,,
International Journal of Philosophical Studies2012-05-23T04:00:00.000Z,International Journal of Philosophical Studies,,5/23/2012 12:00am,Faculty (Tenured),Female,,,Revise and Resubmit,2.0,5.0,5.0,Accept,4.0,,,,,,Revise and Resubmit,Accept,,
Mind2012-05-23T04:00:00.000Z,Mind,,5/23/2012 12:00am,,Female,,12.00,Revise and Resubmit,2.0,5.0,2.0,Accept,12.0,,,,,,Revise and Resubmit,Accept,,
Pacific Philosophical Quarterly2012-05-23T04:00:00.000Z,Pacific Philosophical Quarterly,,5/23/2012 12:00am,Faculty (Tenured),Male,,0.10,Revise and Resubmit,1.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophers’ Imprint2012-05-23T04:00:00.000Z,Philosophers’ Imprint,,5/23/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.25,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Review2012-05-23T04:00:00.000Z,Philosophical Review,,5/23/2012 12:00am,Graduate Student,Male,White,4.00,Reject,1.0,5.0,5.0,,,,,,Reject,,,,,
Philosophical Studies2012-05-23T04:00:00.000Z,Philosophical Studies,,5/23/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,3.00,Withdraw,,,,,,,,,,,,,Withdraw,
Philosophical Studies2012-05-23T04:00:00.000Z,Philosophical Studies,,5/23/2012 12:00am,Graduate Student,Male,White,4.00,Revise and Resubmit,1.0,2.0,4.0,Accept,14.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies2012-05-23T04:00:00.000Z,Philosophical Studies,,5/23/2012 12:00am,Graduate Student,Male,,14.00,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Philosophical Studies2012-05-23T04:00:00.000Z,Philosophical Studies,,5/23/2012 12:00am,Faculty (Tenure-track but non-tenured),Female,,2.00,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Classical Quarterly2012-05-23T05:00:00.000Z,Classical Quarterly,,5/23/2012 1:00am,Graduate Student,Male,White,2.50,Accept,2.0,1.0,4.0,,9.0,,,Accept,,,,,,
British Journal for the History of Philosophy2012-05-24T04:00:00.000Z,British Journal for the History of Philosophy,,5/24/2012 12:00am,Graduate Student,Male,,0.13,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
International Journal of Philosophical Studies2012-05-24T04:00:00.000Z,International Journal of Philosophical Studies,,5/24/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,,Revise and Resubmit,2.0,4.0,5.0,,,,,,,,Revise and Resubmit,,,
Synthese2012-05-24T04:00:00.000Z,Synthese,,5/24/2012 12:00am,Graduate Student,Female,,9.00,Reject,2.0,3.0,3.0,,,,,,Reject,,,,,
European Journal of Philosophy2012-05-25T04:00:00.000Z,European Journal of Philosophy,,5/25/2012 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Reject,1.0,1.0,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2012-05-25T04:00:00.000Z,Philosophical Quarterly,,5/25/2012 12:00am,Faculty (Non-tenure-track position),Male,,1.50,Reject,1.0,4.0,5.0,,,,,,Reject,,,,,
Philosophy and Public Affairs2012-05-25T04:00:00.000Z,Philosophy and Public Affairs,,5/25/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.50,Reject,,,,,,,,,Reject,,,,,
Philosophical Review2012-05-26T04:00:00.000Z,Philosophical Review,,5/26/2012 12:00am,Graduate Student,Male,,5.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Ethics2012-05-27T04:00:00.000Z,Ethics,,5/27/2012 12:00am,Graduate Student,Male,White/Jewish,1.00,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
Mind and Language2012-05-28T04:00:00.000Z,Mind and Language,,5/28/2012 12:00am,Faculty (Tenured),Female,white,11.50,Withdraw,1.0,2.0,2.0,,,,,,,,,,Withdraw,
British Journal for the History of Philosophy2012-05-29T04:00:00.000Z,British Journal for the History of Philosophy,,5/29/2012 12:00am,Graduate Student,Male,,1.00,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Erkenntnis2012-05-29T04:00:00.000Z,Erkenntnis,,5/29/2012 12:00am,Graduate Student,Male,,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Nous2012-05-29T04:00:00.000Z,Nous,,5/29/2012 12:00am,Graduate Student,Male,,3.50,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Quarterly2012-05-29T04:00:00.000Z,Philosophical Quarterly,,5/29/2012 12:00am,Graduate Student,Male,,0.25,Reject,,1.0,1.0,,,,,,Reject,,,,,
Philosophical Quarterly2012-05-29T04:00:00.000Z,Philosophical Quarterly,,5/29/2012 12:00am,Graduate Student,Male,,3.00,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2012-05-29T04:00:00.000Z,Philosophical Quarterly,,5/29/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,2.00,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Philosophy and Public Affairs2012-05-29T04:00:00.000Z,Philosophy and Public Affairs,,5/29/2012 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2012-05-29T04:00:00.000Z,Philosophy and Phenomenological Research,,5/29/2012 12:00am,Graduate Student,Male,,3.00,Reject,,,3.0,,,,,,Reject,,,,,
Nous2012-05-30T04:00:00.000Z,Nous,,5/30/2012 12:00am,Graduate Student,Male,,4.00,Reject,,,,,,,,,Reject,,,,,
